"ABN","Charity_Legal_Name","Other_Organisation_Names","Address_Type","Address_Line_1","Address_Line_2","Address_Line_3","Town_City","State","Postcode","Country","Charity_Website","Registration_Date","Date_Organisation_Established","Charity_Size","Number_of_Responsible_Persons","Financial_Year_End","Operates_in_ACT","Operates_in_NSW","Operates_in_NT","Operates_in_QLD","Operates_in_SA","Operates_in_TAS","Operates_in_VIC","Operates_in_WA","Operating_Countries","PBI","HPC","Preventing_or_relieving_suffering_of_animals","Advancing_Culture","Advancing_Education","Advancing_Health","Promote_or_oppose_a_change_to_law__government_poll_or_prac","Advancing_natual_environment","Promoting_or_protecting_human_rights","Purposes_beneficial_to_ther_general_public_and_other_analogous","Promoting_reconciliation__mutual_respect_and_tolerance","Advancing_Religion","Advancing_social_or_public_welfare","Advancing_security_or_safety_of_Australia_or_Australian_public","Aboriginal_or_TSI","Adults","Aged_Persons","Children","Communities_Overseas","Early_Childhood","Ethnic_Groups","Families","Females","Financially_Disadvantaged","Gay_Lesbian_Bisexual","General_Community_in_Australia","Males","Migrants_Refugees_or_Asylum_Seekers","Other_Beneficiaries","Other_Charities","People_at_risk_of_homelessness","People_with_Chronic_Illness","People_with_Disabilities","Pre_Post_Release_Offenders","Rural_Regional_Remote_Communities","Unemployed_Person","Veterans_or_their_families","Victims_of_crime","Victims_of_Disasters","Youth","Income","Person 1","Person 2","Person 3","Person 4","Person 5","Person 6","Person 7","Person 8","Person 9","Person 10","Person 11","Person 12","Person 13","Person 14","Person 15","Person 16","Person 17","Person 18","Person 19","Person 20","Person 21","Person 22","Person 23","Person 24","Person 25","Person 26","Person 27","Person 28","Person 29","Person 30"
71024432654,"Sale Catholic College ",,"Business","29-41 Pearson St",,,"SALE","VIC",3850,,"www.ccsale.catholic.edu.au","03/12/2012","31/12/1889","Large",3,"31-Dec",,,,,,,"Y",,,,,,,"Y",,,,,,,"Y",,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71032808826,"Wagga Wagga Christian College",,"Business","Wagga Wagga Christian College",,,"East Wagga Wagga","New South Wales",2650,"Australia","www.wwcc.nsw.edu.au","03/12/2012","01/01/1990","Large",9,"31-Dec",,"Y",,,,,,,,,,,,"Y",,,,,,,,,,"Y",,,"Y",,"Y","Y",,,,,"Y",,"Y",,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71050057620,"United Protestant Association Of NSW Limited","UPA, UPA of NSW Ltd","Business","1614 Pacific Hwy",,,"Wahroonga","NSW",2076,"Australia","www.upa.org.au","03/12/2012","31/12/1937","Large",12,"30-Jun",,,,,,,,,,"Y",,,,,,,,,,,,"Y",,"Y","Y","Y","Y",,"Y","Y",,"Y","Y","Y",,"Y",,,,"Y","Y","Y",,"Y",,"Y","Y",,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71055702035,"Board Of Trustees Of The Rockhampton Grammar School",,"Business","Rockhampton Grammar School",,,"The Range","Queensland",4700,"Australia","www.rgs.qld.edu.au","03/12/2012","31/12/1880","Large",10,"31-Dec",,,,"Y",,,,,,,,,,"Y",,,,,,,,,,,,,"Y",,"Y",,,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71059213946,"Sunnyhaven Ltd",,"Business","35 Beach St",,,"Kogarah","New South Wales",2217,"Australia","www.sunnyhaven.org.au","03/12/2012","01/01/1993","Large",10,"30-Jun",,"Y",,,,,,,,"Y",,,,,,,,,,,,,,"Y","Y","Y",,,,"Y",,"Y",,"Y",,"Y",,,,,,"Y",,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71068436261,"YellowBridge QLD Ltd",,"Business","46 Hill St",,,"Toowoomba City","Queensland",4350,"Australia","www.yellowbridgeqld.com.au","03/12/2012","01/01/1987","Large",3,"30-Jun",,,,"Y",,,,,,"Y",,,,,,,,,"Y",,,"Y","Y",,"Y","Y","Y",,,"Y","Y","Y","Y",,,"Y","Y",,,"Y",,"Y","Y",,"Y",,"Y",,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71071387436,"The Health Roundtable Limited",,"Business","L 2 120 Chalmers St",,,"Surry Hills","New South Wales",2010,"Australia","http://www.healthroundtable.org","03/12/2012","10/11/1995","Large",11,"31-Dec","Y","Y","Y","Y","Y","Y","Y","Y","ARE, NZL",,"Y",,,,"Y",,,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71079817981,"The Trustee For The Society Of The Sacred Advent - St Aidan's Trust",,"Business","St Aidans Ang Girls School",,,"Corinda","Queensland",4075,"Australia","www.staidans.qld.edu.au","03/12/2012","01/01/2003","Large",13,"31-Dec",,,,"Y",,,,,,,,,,"Y",,,,,,,,,,,,,"Y",,"Y",,,"Y",,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71080849575,"Meals On Wheels - Fraser Community Inc",,"Business",,,,,,,,"www.mowfc.org.au","03/12/2012","31/12/1967","Large",2,"30-Jun",,,,"Y",,,,,,"Y",,,,,,,,,,,,"Y",,"Y",,"Y",,,,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71085677041,"Museums & Galleries of New South Wales Limited",,"Business","L 1 10 Hickson Rd",,,"The Rocks","New South Wales",2000,"Australia","www.mgnsw.org.au","03/12/2012","01/01/1999","Large",12,"31-Dec",,"Y",,"Y",,,"Y",,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71085951631,"ACGS Nominees Pty Ltd",,"Business","18 Oaklands Pde",,,"East Brisbane","Queensland",4169,"Australia",,"03/12/2012","01/01/1999","Large",4,"31-Dec",,,,"Y",,,,,,,,,,"Y",,,,,,,,,,,,,"Y",,"Y",,,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71094768993,"GEMS Christian Education Limited",,"Business","Emerald Educational College",,,"Emerald","Queensland",4720,"Australia","https://www.ecc.qld.edu.au","03/12/2012","01/01/2000","Large",6,"31-Dec",,,,"Y",,,,,,,,,,"Y",,,,,,,,,,,,,"Y",,"Y",,,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71097577636,"Learning Links",,"Business","Yoorana Pre School Centre",,,"Peakhurst Heights","New South Wales",2210,"Australia","www.learninglinks.org.au","03/12/2012","01/01/1972","Large",8,"30-Jun",,"Y",,,,,,,,"Y",,,,,"Y",,,,"Y",,,"Y",,"Y",,,"Y",,"Y","Y","Y",,"Y",,,,,,,,,"Y",,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71098971209,"NTSCORP Limited",,"Business",,,,,,,,"www.ntscorp.com.au","03/12/2012","01/01/2001","Large",11,"30-Jun",,"Y",,,,,,,,"Y",,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71102334636,"Chemcert Training Group Proprietary Limited",,"Business","SUITE 2","Level 5","845 Pacific Highway","Chatswood","NSW",2067,"AUSTRALIA","www.chemcert.com.au","03/12/2012","01/01/2003","Large",5,"30-Jun","Y","Y","Y","Y","Y",,"Y","Y",,,,,,"Y",,,,,,,,,,,"Y",,,,,,,,,,"Y",,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71103790665,"Macquarie Community College",,"Business","263 Marsden Rd",,,"Carlingford","New South Wales",2118,"Australia","www.macquarie.nsw.edu.au","03/12/2012","01/01/2003","Large",12,"31-Dec",,"Y",,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,"Y",,,"Y",,,,"Y",,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71121239674,"Arc @ UNSW Limited",,"Business","University of New South Wales","Level 2, Basser College",,"Kingsford","NSW",2032,"Australia","www.arc.unsw.edu.au/","03/12/2012","01/01/2006","Large",17,"31-Dec",,"Y",,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71142069645,"Love Mercy Foundation Ltd",,"Business","Suite 1 Civic Arcade","768 Old Princes Hwy",,"Sutherland","NSW",2232,"Australia","www.lovemercyfoundation.org","03/12/2012","01/01/2010","Large",13,"31-Dec",,"Y",,,,,,,"UGA","Y",,,,"Y","Y",,,,,,,"Y",,,,,,"Y",,,,,"Y",,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71154866047,"National Ageing Research Institute Limited",,"Business","PO Box 2127","Royal Melbourne Hospital",,"Parkville","VIC",3050,"Australia","nari.net.au","03/12/2012","01/01/2012","Large",10,"30-Jun",,"Y","Y",,,,"Y","Y",,,"Y",,,,,,,,,,,,,"Y",,"Y",,,,"Y",,,,,,,,"Y",,"Y","Y",,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71156349594,"Leading Age Services Australia Limited",,"Business","L 2 176 Wellington Pde",,,"East Melbourne","Victoria",3002,"Australia","lasa.asn.au","03/12/2012","01/01/2012","Large",12,"30-Jun",,,,,,,,,,"Y",,,,,"Y",,,,,,,"Y",,"Y","Y","Y",,,,"Y","Y",,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71160962096,"Overseas Services to Survivors of Torture and Trauma (OSSTT) Ltd",,"Business","124 Sturt St",,,"Adelaide","South Australia",5000,"Australia","www.osstt.org.au","24/03/2014","26/10/2012","Large",7,"30-Jun",,,,,,,,,"NRU, PNG","Y",,,,,"Y",,,,,,,"Y",,,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71168476100,"Disability Matters Inc",,"Business","39 Robert St",,,"Atherton","QLD",4883,"Australia","www.disabilitymatters.org.au","03/12/2012","01/01/1995","Large",6,"30-Jun",,,,"Y",,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
